file_stem,doc_cer,doc_wer
0a77ccd7-415e-4914-a745-392137492d16,0.141728513,0.54028436
3c2759e3-03d5-4755-af2b-0fb5469fb3e4,0.040638298,0.152631579
db3cff87-6231-4443-8000-d55374e9a587,0.669832542,0.917322835
d2d95bff-6f9e-440f-8035-c6356ee0cf4a,0.069173942,0.252136752
f1e2128b-b41a-4936-ae53-fdcf9b24ddb9,1,1
f260d228-1aae-4ba7-a9a7-bd9851d0e73b,0.754957507,0.983606557
d0d17e4e-9d8f-465a-998d-fa192692610e,0.17739816,0.54368932
0f3f3a84-eaa5-4345-8e14-3f48b174de25,1,1
323cfddd-1973-44ee-94e6-c2d0954ed9df,0.486338798,0.56557377
3c4954c7-01bc-4a91-b3c3-d6dfbf5b4e11,0.258863399,0.511066398
6a01639b-a0e7-413e-8176-9aa227c9f473,0.816254417,0.96812749
9d0e702c-b56f-4bc3-9a1c-fef6178c55ce,0.153364632,0.398518519
1dd85c01-12c0-411b-af63-afe9c117ffa6,0.623062016,0.852459016
f41e6e30-d09d-4870-8eb1-d22ad797197a,0.145308032,0.399334443
cf0fd562-efc8-4d33-8dd7-98e4cb0f97f2,0.276156584,0.30726257
d2bc4159-2a99-4dec-9768-207a7ddc8fc7,0.139771283,0.305676856
f92ba449-b0b2-44f3-9f3a-5ffb2f24a726,0.70361991,0.91509434
99377359-52dd-4b5d-aecf-00a5098f8fff,0.061812362,0.263598326
d8838650-303d-47de-9a8c-62a5c7e153e7,1,1
0c7d6b37-2f8f-4346-87fb-ad04fb588560,0.191044776,0.434782609
6a780d7c-6b92-49b7-bc22-670945d8e45a,0.399810225,0.640103781
6adffd08-116a-4519-bee4-e612cee689e1,0.375767728,0.467320261
edbdeb19-814b-4c68-94c9-a5cc3da10ec5,0.713740458,0.834101382
01b52f39-2f09-466c-bc4c-180227eb0d56,0.214427204,0.663387978
e90541bb-279d-478e-a4ae-1e4fd4285a3b,1,1
ed08a68e-459e-4bff-a921-73be1c87bb1b,0.979338843,1.300884956
dc5d4d24-59fc-4071-b7c5-74a282c7c2ec,0.147911548,0.277108434
d9103c7f-dcba-4903-b05f-2efd5c1a3626,0.236893748,0.537070524
cfb864f4-068d-4c74-985b-945fdc71c4d4,0.615458937,0.804263566
0b4345c4-83a0-4d93-9188-92ea0822c7a0,0.087591241,0.36677116
d46b4aa6-98de-48c6-af16-6d1ad5e222ef,0.383750639,0.678059537
e2558815-7565-4ae7-8845-7028a83e483c,0.833928571,0.969230769
e905f990-e744-4b38-9099-2831b46c0e73,0.398367664,0.721804511
d4789ef2-6d9e-4d5a-9ef7-b755b10d700c,0.067679558,0.260869565
feee9ff5-c1ac-4205-ba2a-7b318a678478,0.757475083,1.011111111
5d086906-6685-406e-bce1-13de9654e70a,0.591427269,0.839895013
d7eac22e-8fba-4a3a-84c3-c594030a48ff,0.422603107,0.844569288
dbc46bb8-7b5c-48b7-ac6f-ecb074b0e1b4,1,1
000f02a5-e452-418b-b9a9-316af59d9c11,0.160213618,0.43697479
2b2a0f03-717f-4610-983d-2295be3fa7a5,0.293497364,0.64
181a26da-cd71-455c-8fd4-40d1a5305a90,0.23085901,0.452674897
9ed66dc7-41f8-4e8a-8f09-67171347766a,0.620265781,0.693877551
0f740694-0933-4292-acfd-1dbeb002dd0b,0.487794613,0.87037037
d3b3e6f1-b96c-4d92-b3e2-e54c17b6ece8,0.397058824,0.792207792
0cf8bf49-b030-49d4-b534-bf333e3ddaf9,0.543420352,0.730375427
3dacad11-3fd3-44f2-b45d-3d61831b3590,0.777777778,1.036885246
1c67923d-c8ce-4585-8010-d9e4a8306c4f,0.730684327,0.982142857
ebec2688-da21-4e5d-8605-71260bbecc25,0.168871376,0.52886406
00fb93d5-7c67-4851-ad08-f23ed2159467,0.181747873,0.461111111
2404bbd5-4ab6-457d-b862-7e60ce64fa7e,0.792145594,1.170454545
0be67a3d-f52b-4ebf-817a-3827b5136379,0.744610282,0.917647059
8e3ef74a-a96b-4605-a046-43edd74d4983,0.287664042,0.604895105
1d5ae99f-c03e-4ba1-844a-16d48be9ca03,0.307293168,0.56542811
f0f96620-5fae-4b82-be94-e5b9de8af046,0.731394354,0.843971631
6b4c5b04-28f6-4222-b07a-b2513b5fcedc,0.605411499,0.861111111
ee5ab065-0322-43ec-971d-1ba9e3c3cc91,0.887755102,0.914634146
0d1a5d71-2949-42c7-be4b-7d9fe55ec783,0.455853861,0.969804618
fef9e374-f839-44b5-88c7-f2670ba5df46,0.126569563,0.435294118
0aa9194b-4906-43ce-bcd7-cb8b0d28174e,0.718580225,0.89373297
2fbe28b4-bf9c-49b2-9c5b-ecc2318d2cdf,0.479768786,0.788888889
dbb33ddc-aa6a-4c64-9695-7b15e685b0f4,0.329278594,0.661691542
0c6e18a3-c456-4502-ae39-c4b9ccfc0906,0.337021277,0.567010309
56dab97c-9696-4671-bbba-eaa463976b18,0.655687082,0.937618147
ff9fec84-763a-486a-953a-7df10eb38442,0.511854103,0.752525253
2abf069f-b0fc-44cc-bd30-353b9a2f8773,0.934636872,1.343629344
1cbceb5c-da03-4654-8ac5-3f48133e4529,0.724770642,0.919047619
d4a1386e-6fd8-4236-bcad-05d2d98c024d,0.674442191,0.796666667
ebc99154-b8b2-4188-94af-ce705ff5908a,0.486486486,0.928571429
