file_stem,average_NED,average_accuracy,average_precision,average_f1
3e0a51ed-c266-4c7d-9eb2-5dbe73a3a29f,0.12260731918646582,0.630901287553648,0.6419213973799127,0.6363636363636365
fef1b621-f891-4134-b627-0cd137c249c7,0.12609407555587063,0.7628865979381443,0.8222222222222222,0.7914438502673796
ed15306f-eae7-4db3-83df-28a3230f8dec,0.1335405924577899,0.821656050955414,0.9347826086956522,0.8745762711864407
03cb9917-6faa-41aa-a121-da4f56698c06,0.13892029564544178,0.6081871345029239,0.6380368098159509,0.6227544910179641
a00bd0d9-0afb-46e8-aef5-4349201a0bbd,0.14012496194721258,0.6,0.6455696202531646,0.6219512195121951
0e7fd8a5-e97b-4b39-a72a-2ebcabdd9103,0.14058033469798173,0.7205882352941176,0.7903225806451613,0.7538461538461538
d23c9d59-c9bf-4e52-9aa0-8b7a0ec0dd14,0.14095747027629052,0.7415730337078652,0.8198757763975155,0.7787610619469026
0c957e6f-c7a1-4b5c-b52a-0e5549548ff3,0.14309815950920246,0.7423312883435583,0.8175675675675675,0.7781350482315113
d3ae9310-4c56-487e-b39c-d0915868c618,0.1447414548641543,0.7883435582822086,0.9017543859649123,0.8412438625204582
f0f96620-5fae-4b82-be94-e5b9de8af046,0.1493747365687925,0.8024475524475524,0.9235412474849095,0.8587464920486436
ed08a68e-459e-4bff-a921-73be1c87bb1b,0.14977351151264195,0.6173913043478261,0.6513761467889908,0.6339285714285715
eee4c9c5-6291-480c-8e31-808b504eb710,0.1571384226699842,0.7508305647840532,0.8560606060606061,0.7999999999999999
feee9ff5-c1ac-4205-ba2a-7b318a678478,0.16090615733472874,0.6153846153846154,0.6436781609195402,0.6292134831460674
3c0707c2-7f4f-4589-9517-37fe240c2aca,0.16174074074074074,0.8088888888888889,0.9479166666666666,0.8729016786570744
edb93a6f-4627-46cd-b1a7-ff95fd5f7352,0.16259758759758758,0.6495726495726496,0.7037037037037037,0.6755555555555557
0a12ea65-8d0a-4fed-a759-9efcd9864dc1,0.16666666666666666,0.8333333333333334,1.0,0.9090909090909091
3a1a096b-bf80-4d51-8e3e-c0ce854b00c5,0.16673202614379082,0.7098039215686275,0.7605042016806722,0.7342799188640974
03ee511a-9d83-4555-9a54-66a84a998dbf,0.16725713012477716,0.7058823529411765,0.6666666666666666,0.6857142857142857
8c23040e-cc42-4ef5-9fa5-6a58912e6f4c,0.17201429571799962,0.5308641975308642,0.5687830687830688,0.5491698595146871
01a293a5-0294-4d14-a054-0356b734a67b,0.17209401411471204,0.6164383561643836,0.6958762886597938,0.6537530266343825
dc5d4d24-59fc-4071-b7c5-74a282c7c2ec,0.17249588765623752,0.7346938775510204,0.8513513513513513,0.7887323943661972
0cf9d5f0-0e72-4173-bcd7-1d773f6194ac,0.17278713584699135,0.6370370370370371,0.7107438016528925,0.6718749999999999
0cf8bf49-b030-49d4-b534-bf333e3ddaf9,0.17556046840586323,0.6710526315789473,0.7669172932330827,0.7157894736842105
1bb05604-bb8e-4a3c-a8cf-7a9a458eb2e4,0.19003542858656505,0.6045454545454545,0.6768447837150128,0.6386554621848739
e900b38d-679c-45e4-a742-0e89dd150469,0.19295357091565626,0.6113744075829384,0.6789473684210526,0.6433915211970075
0c0ded6f-0d05-41b0-baae-bbfafa8fef15,0.19481227495246184,0.7102803738317757,0.8539325842696629,0.7755102040816326
55d135eb-a6c3-4465-ba8e-05d1726a9ed9,0.19659253600430077,0.6666666666666666,0.7522123893805309,0.7068607068607069
2f081d1a-7409-4a62-9633-29ca969c6df6,0.19663920860603323,0.7488151658767772,0.9028571428571428,0.8186528497409327
9a68247a-c46a-458e-87b9-fb8fb9e5a6bc,0.19696308916605942,0.7128712871287128,0.8470588235294118,0.7741935483870968
00a9f4ae-1425-4976-a2dc-6da331aa3b32,0.1970831019360433,0.518918918918919,0.5597667638483965,0.5385694249649369
d0df01a2-dbb8-4ab1-a695-d6ab46519cdd,0.19841670315431248,0.7667638483965015,0.9359430604982206,0.842948717948718
99377359-52dd-4b5d-aecf-00a5098f8fff,0.2019227114906127,0.654320987654321,0.7705977382875606,0.7077151335311572
f41e6e30-d09d-4870-8eb1-d22ad797197a,0.2034593159212063,0.6112804878048781,0.6796610169491526,0.6436597110754415
0c7d6b37-2f8f-4346-87fb-ad04fb588560,0.21313475597707965,0.6514522821576764,0.7440758293838863,0.6946902654867256
b7b43f95-769a-4687-897f-4dbcfcb116bb,0.21788375558867362,0.7540983606557377,0.9583333333333334,0.8440366972477064
12a6fe12-e3c9-4772-af7e-dea54f486224,0.220646194083694,0.4861111111111111,0.5263157894736842,0.5054151624548737
0d00db98-42dd-4150-8455-e21e6373a312,0.22594425320328937,0.6686746987951807,0.8043478260869565,0.730263157894737
8e3ef74a-a96b-4605-a046-43edd74d4983,0.22712687293075984,0.5918727915194346,0.6754032258064516,0.6308851224105461
0c6e18a3-c456-4502-ae39-c4b9ccfc0906,0.23109632741985686,0.6666666666666666,0.8095238095238095,0.7311827956989246
d004444e-c443-4da2-9214-9ceb2713c468,0.23278658601934468,0.6082375478927203,0.7248858447488584,0.6614583333333333
d2bc4159-2a99-4dec-9768-207a7ddc8fc7,0.2358513102210581,0.680672268907563,0.8481675392670157,0.7552447552447552
